AQ Station Name;Air Quality Station Area;Air Quality Station Type;StandardsDescription;Country1;Unit Of Airpollution Level;Year Of Statistics;Air Pollution Class;Sampling Point;Year shapes;Data Aggregation Process Label;Air Pollutant;Air Pollution Level;Latitude;Longitude;Round Air pollution level
41R001 - MOLENBEEK;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETR001_06001_100;2020;Annual mean / 1 calendar year;PM2.5;9,648;50,8497;4,3341;10
41R012 - UCCLE;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETR012_06001_100;2020;Annual mean / 1 calendar year;PM2.5;8,869;50,7966;4,3586;9
41REG1 - BRUXELLES;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETREG1_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,596;50,8436;4,367;11
42M802 - ANTWERPEN;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETM802_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,425;51,261;4,4244;11
42N016 - DESSEL;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETN016_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,079;51,2337;5,164;11
42N035 - AARSCHOT;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETN035_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,62;50,9775;4,8376;11
42N047 - HASSELT;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETN047_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,418;50,9355;5,3532;11
42N054 - WALSHOUTEM;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETN054_06001_100;2020;Annual mean / 1 calendar year;PM2.5;9,594;50,7117;5,1032;10
42R020 - VILVOORDE;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR020_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,726;50,9414;4,4367;11
42R801 - BORGERHOUT;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR801_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,486;51,2097;4,4318;12
42R802 - BORGERHOUT;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR802_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,591;51,2095;4,4318;13
42R803 - ANTWERPEN;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR803_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,591;51,2286;4,4285;13
42R804 - ANTWERPEN;suburban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR804_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,045;51,2063;4,442;11
42R805 - ANTWERPEN;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR805_06001_100;2020;Annual mean / 1 calendar year;PM2.5;13,032;51,2082;4,4216;13
42R811 - SCHOTEN;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR811_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,398;51,2521;4,4914;11
42R817 - ANTWERPEN;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR817_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,223;51,1771;4,418;11
42R818 - ANTWERPEN;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR818_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,101;51,2122;4,3505;11
42R823 - BEVEREN;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR823_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,602;51,2133;4,2399;12
42R834 - Boom;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR834_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,37;51,092;4,3801;11
42R842 - MECHELEN;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR842_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,079;51,0204;4,4833;12
43H201 - LIEGE;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETH201_06001_100;2020;Annual mean / 1 calendar year;PM2.5;7,539;50,625;5,5475;8
43M204 - ANGLEUR;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETM204_06001_100;2020;Annual mean / 1 calendar year;PM2.5;7,25;50,6119;5,6112;7
43N060 - HAVINNES;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETN060_06001_100;2020;Annual mean / 1 calendar year;PM2.5;8,234;50,6167;3,4576;8
43N067 - MEMBACH;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;1;SPO-BETN067_06001_100;2020;Annual mean / 1 calendar year;PM2.5;5,393;50,6123;5,9928;5
43N070 - MONS;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETN070_06001_100;2020;Annual mean / 1 calendar year;PM2.5;9,372;50,4652;3,9397;9
43N073 - VEZIN;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETN073_06001_100;2020;Annual mean / 1 calendar year;PM2.5;7,411;50,5027;4,9884;7
43N085 - VIELSALM;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;1;SPO-BETN085_06001_100;2020;Annual mean / 1 calendar year;PM2.5;4,418;50,3032;6,0017;4
43N093 - SINSIN;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETN093_06001_100;2020;Annual mean / 1 calendar year;PM2.5;5,637;50,2745;5,2352;6
43N100 - DOURBES;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;1;SPO-BETN100_06001_100;2020;Annual mean / 1 calendar year;PM2.5;5,115;50,0957;4,5948;5
43N113 - SAINT-ODE;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;1;SPO-BETN113_06001_100;2020;Annual mean / 1 calendar year;PM2.5;3,98;50,027;5,593;4
43N121 - OFFAGNE;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;1;SPO-BETN121_06001_100;2020;Annual mean / 1 calendar year;PM2.5;5,166;49,8771;5,2024;5
43N132 - HABAY-LA-N.;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;1;SPO-BETN132_06001_100;2020;Annual mean / 1 calendar year;PM2.5;5,159;49,7193;5,6304;5
43R202 - LIEGE;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETR202_06001_100;2020;Annual mean / 1 calendar year;PM2.5;8,401;50,638;5,5718;8
43R221 - LIEGE;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETR221_06001_100;2020;Annual mean / 1 calendar year;PM2.5;7,945;50,6584;5,6278;8
43R222 - SERAING;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETR222_06001_100;2020;Annual mean / 1 calendar year;PM2.5;8,019;50,6134;5,5702;8
43R223 - JEMEPPE;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR223_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,637;50,6207;5,5164;12
43R240 - ENGIS;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETR240_06001_100;2020;Annual mean / 1 calendar year;PM2.5;7,702;50,5836;5,3975;8
44N012 - MOERKERKE;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETN012_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,378;51,2546;3,3625;11
44N029 - HOUTEM;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETN029_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,63;51,0163;2,5823;11
44N052 - ZWEVEGEM;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETN052_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,187;50,8149;3,3225;12
44R701 - GENT;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR701_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,414;51,0583;3,7293;11
44R702 - Gent (G.Carlierlaan);urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR702_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,506;51,0407;3,735;12
44R710 - DESTELBERGE;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR710_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,992;51,0613;3,7753;12
44R731 - EVERGEM;rural;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR731_06001_100;2020;Annual mean / 1 calendar year;PM2.5;13,986;51,1247;3,7395;14
44R750 - ZELZATE;rural;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR750_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,293;51,1961;3,8229;12
45R501 - CHARLEROI;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETR501_06001_100;2020;Annual mean / 1 calendar year;PM2.5;7,955;50,4093;4,4522;8
45R502 - LODELINSART;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETR502_06001_100;2020;Annual mean / 1 calendar year;PM2.5;8,369;50,429;4,4587;8
45R510 - CHATELINEAU;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETR510_06001_100;2020;Annual mean / 1 calendar year;PM2.5;8,321;50,4164;4,5211;8
45R511 - MARCINELLE;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;2;SPO-BETR511_06001_100;2020;Annual mean / 1 calendar year;PM2.5;7,938;50,3776;4,4247;8
45R512 - MARCHIENNE;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Belgium;ug/m3;2022;3;SPO-BETR512_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,629;50,4078;4,3959;11
?ary, ul. Szymanowskiego 8;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;2;SPO_PL0591A_6001_002;2020;Annual mean / 1 calendar year;PM2.5;10,267;51,6427;15,1278;10
?ask, ul. Narutowicza;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;4;SPO_PL0764A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;20,854;51,5892;19,1314;21
?�d?, ul. Czernika;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0096A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;13,107;51,758;19,5298;13
?yrard�w, ul. Roosevelta;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0144A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;17,541;52,0538;20,4299;18
"""Aukstaitija""";rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Lithuania;ug/m3;2022;2;SPO-LT00051_06001_100;2020;Annual mean / 1 calendar year;PM2.5;7,388;55,4633;26,0042;7
"""Banska Bystrica - Stefanikovo nabrezie""";urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0214A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;16,705;48,7352;19,1549;17
"""Banska Bystrica - Zelena""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0263A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,351;48,7333;19,1153;12
"""Bardejov - Pod Vinbagrom""";suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0074A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;14,836;49,3005;21,2779;15
"""Bratislava - Jeseniova""";suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0048A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,429;48,168;17,1062;11
"""Bratislava - Kamenne nam.""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0004A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,315;48,1447;17,1136;12
"""Bratislava - Mamateyova""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0001A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,433;48,1247;17,1255;11
"""Bratislava - Puchovska""";urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0061A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,678;48,2113;17,158;13
"""Bratislava - Trnavske myto""";urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0002A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;15,151;48,1584;17,1289;15
"""Budapest Gilice""";suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Hungary;ug/m3;2022;3;SPO-HU0022A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,627;47,4308;19,1842;11
"""Bystricany - Rozvodna SSE""";suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0013A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;15,088;48,667;18,5141;15
"""Copenhagen/1103""";urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Denmark;ug/m3;2022;2;SPO-DK0034A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;8,065;55,6743;12,5711;8
"""Dunaujvaros""";urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Hungary;ug/m3;2022;3;SPO-HU0033A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;14,33;46,9761;18,9361;14
"""Esztergom""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Hungary;ug/m3;2022;3;SPO-HU0039A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,762;47,79;18,7461;13
"""Gyor Ifjusag""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Hungary;ug/m3;2022;3;SPO-HU0025A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;14,011;47,6761;17,6497;14
"""Gyor Szent Istvan""";urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Hungary;ug/m3;2022;3;SPO-HU0024A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;14,651;47,6853;17,6394;15
"""Handlova - Morovianska cesta""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0027A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;12,842;48,7331;18,7564;13
"""Hnusta - Hlavna""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0022A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;14,7;48,5839;19,9516;15
"""Humenne - Nam. slobody""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0037A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;18,77;48,9309;21,9137;19
"""Jelsava - Jesenskeho""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;4;SPO-SK0025A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;21,875;48,6312;20,2404;22
"""Kaunas - Noreikiskes""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Lithuania;ug/m3;2022;3;SPO-LT00044_06001_101;2020;Annual mean / 1 calendar year;PM2.5;11,043;54,8836;23,8358;11
"""Kaunas - Petrasiunai""";urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Lithuania;ug/m3;2022;2;SPO-LT00041_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,047;54,8951;23,9862;10
"""Kazincbarcika""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Hungary;ug/m3;2022;3;SPO-HU0026A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;19,501;48,2472;20,6164;20
"""Klaipeda - Silutes""";urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Lithuania;ug/m3;2022;2;SPO-LT00033_06001_100;2020;Annual mean / 1 calendar year;PM2.5;6,698;55,69;21,1795;7
"""Kohtla-J�rve""";urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Estonia;ug/m3;2022;2;SPO-EE0019A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;6,436;59,4097;27,2786;6
"""Kolonicke sedlo""";rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0406A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;10,729;48,9349;22,2737;11
"""Komarno - Vnutorna Okruzna""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0064A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;14,027;47,7641;18,1386;14
"""Kosice - Amurska""";urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0264A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;16,254;48,6902;21,2854;16
"""Kosice - Stefanikova""";urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0267A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;17,432;48,7263;21,2588;17
"""Krompachy - SNP""";urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovakia;ug/m3;2022;3;SPO-SK0265A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;17,515;48,9156;20,8741;18
